date,v1,v2,v3,feature1,feature2,feature3
2013/1/1 0:00,-2.169377634,27.71082757,-0.020664811,85049,11509,25.464211
2013/1/1 1:00,-2.275125685,26.99506083,0.020166968,82128,10942,23.554578
2013/1/1 2:00,-2.382925515,26.52606983,0.022001125,80729,10639,22.122277
2013/1/1 3:00,-2.348425362,26.24995044,-0.000278085,80248,10476,21.592066
2013/1/1 4:00,-2.051845347,26.980216,-0.067849841,80850,10445,21.546501
2013/1/1 5:00,-1.439904463,27.53836415,-0.089123144,82642,10515,21.962992
2013/1/1 6:00,-0.572033308,27.88624294,0.07725001,85575,10745,23.986774
2013/1/1 7:00,0.376168764,27.48255487,0.104878922,88892,11148,24.609571
2013/1/1 8:00,1.180250471,26.95788874,-0.208614074,91735,11303,26.730549
2013/1/1 9:00,1.628855592,26.73833651,-0.172228778,93590,11533,26.677503
2013/1/1 10:00,1.64509801,27.4772621,0.390878189,94099,11663,28.124666
2013/1/1 11:00,1.298070611,28.14121458,0.145545054,93758,11703,28.460413
2013/1/1 12:00,0.783093535,28.8482273,-0.614004581,93167,11658,27.868985
2013/1/1 13:00,0.368717756,28.52625241,-0.027755473,92463,11592,27.228647
2013/1/1 14:00,0.304832569,27.62808679,0.767732816,91733,11532,27.198835
2013/1/1 15:00,0.716308143,27.79147494,-0.214109891,92229,11521,27.162212
2013/1/1 16:00,1.545817864,27.93907098,-0.838338481,95575,11671,28.44099
2013/1/1 17:00,2.551303147,29.16547093,0.4579272,102999,12533,32.919225
2013/1/1 18:00,3.375346409,30.21365014,0.75884765,106324,13474,35.47654
2013/1/1 19:00,3.660184319,29.3540697,-0.616665947,106186,13723,32.70079
2013/1/1 20:00,3.16614607,29.40657583,-0.51382339,105285,13681,31.574243
2013/1/1 21:00,1.838286684,28.37462419,0.640619344,102486,13487,30.184456
2013/1/1 22:00,-0.168283839,28.79764122,0.19257657,97998,13132,28.898003
2013/1/1 23:00,-2.508231864,30.24815358,-0.496747844,92715,12462,27.727931
2013/1/2 0:00,-4.699830287,30.68466357,0.084925858,90904,11664,26.698947
2013/1/2 1:00,-6.240308182,30.9631869,0.176689401,88707,11134,26.025287
2013/1/2 2:00,-6.74533872,30.68449834,-0.202848894,87913,10825,25.69928
2013/1/2 3:00,-6.058876296,29.18528055,0.2803197,88260,10692,25.55645
