date,v1,v2,v3,feature1,feature2,Price
2011/1/9 0:00,-9.427085805,37.31112993,-0.069655427,63065,63000,32.54
2011/1/9 1:00,-8.772846654,33.25768082,-0.245763127,62715,58800,21.55
2011/1/9 2:00,-7.855097935,29.04066457,0.759807004,61952,58500,15.71
2011/1/9 3:00,-7.303063807,28.84619689,0.250900845,59262,54300,10.58
2011/1/9 4:00,-7.448349608,33.12603759,-1.517351956,56883,51900,10.32
2011/1/9 5:00,-7.978971458,36.87026694,-0.204099759,56332,50900,10.33
2011/1/9 6:00,-7.953280198,37.02715,1.86134797,55096,50100,9.22
2011/1/9 7:00,-6.370239721,34.65368231,-0.405109922,55507,51000,10
2011/1/9 8:00,-2.889124586,29.76252803,-2.431380163,58763,53200,10.19
2011/1/9 9:00,1.91375204,31.76229415,0.698701614,60500,54800,30
2011/1/9 10:00,6.712638643,35.18273969,2.395039996,63192,57800,46.02
2011/1/9 11:00,10.20188898,39.46829791,-0.88888738,64278,59900,50.83
2011/1/9 12:00,11.77483096,42.17134809,-2.026437975,65547,61900,53.02
2011/1/9 13:00,11.698712,37.52128256,0.920999443,64460,64700,46.62
2011/1/9 14:00,10.85823174,35.2009012,1.68200412,63373,59800,43.44
2011/1/9 15:00,10.13219397,34.48255662,-0.760260701,63280,58300,36.36
2011/1/9 16:00,9.956505424,36.74861586,-1.520923653,62791,56900,39.22
2011/1/9 17:00,10.05422978,43.58961489,0.166108645,64533,58800,56.28
2011/1/9 18:00,9.655364497,44.84601711,1.410056836,69141,64300,63.02
2011/1/9 19:00,8.122537145,42.977068,0.595658515,69446,67200,62.38
2011/1/9 20:00,5.278449507,41.08137757,-1.463816408,67761,68100,57.47
2011/1/9 21:00,1.412454465,37.37932824,-1.006623288,66266,65400,49.37
2011/1/9 22:00,-2.951388405,41.33797856,2.060806713,65710,62300,52.01
2011/1/9 23:00,-7.351709427,45.47330981,1.382740896,65757,65400,47
2011/1/10 0:00,-11.39173088,46.79034321,-2.409243985,65565,64100,30
2011/1/10 1:00,-14.65993894,47.53762223,-1.290001803,64758,60300,25.09
2011/1/10 2:00,-16.80033161,42.60623004,2.46721894,64689,61000,20.57
2011/1/10 3:00,-17.39374585,40.23258382,0.91411761,64190,58100,15.04
2011/1/10 4:00,-15.99836403,42.78929893,-2.487401859,64147,56200,15.7
2011/1/10 5:00,-12.45613503,45.47290129,-0.81806488,64693,57200,25.63
2011/1/10 6:00,-7.248243593,51.09424176,2.108854167,67325,60500,51.64
2011/1/10 7:00,-1.565853712,51.01198765,0.676450695,73016,68300,63.3
